"STATE"	"MONTH"	"REVENUE"	"AVG_REV"
"AB"	1	1742.95235	3295.483707142857142857142857142857142857
"AB"	2	1235.58275	2705.748364285714285714285714285714285714
"AB"	3	1132.7905	2971.350328571428571428571428571428571429
"AB"	4	1340.63375	3742.5603
"AB"	5	1397.53025	3463.855085714285714285714285714285714286
"AB"	6	1436.72375	3296.886135714285714285714285714285714286
"AB"	7	619.771	3027.172935714285714285714285714285714286
"AB"	8	2083.511	4490.711135714285714285714285714285714286
"AB"	9	1563.59025	3516.0321
"AB"	10	3214.19275	4072.275157142857142857142857142857142857
"AB"	11	1817.0511	2995.0347
"AB"	12	2469.29125	4805.783666666666666666666666666666666667
"BC"	1	4679.88425	3295.483707142857142857142857142857142857
"BC"	2	3933.0615	2705.748364285714285714285714285714285714
"BC"	3	5837.82395	2971.350328571428571428571428571428571429
"BC"	4	5609.14235	3742.5603
"BC"	5	4192.0877	3463.855085714285714285714285714285714286
"BC"	6	7514.583	3296.886135714285714285714285714285714286
"BC"	7	4998.9027	3027.172935714285714285714285714285714286
"BC"	8	7520.1517	4490.711135714285714285714285714285714286
"BC"	9	6462.851	3516.0321
"BC"	10	7111.53135	4072.275157142857142857142857142857142857
"BC"	11	7637.0422	2995.0347
"BC"	12	5283.79195	4805.783666666666666666666666666666666667
"MB"	1	1789.73	3295.483707142857142857142857142857142857
"MB"	2	707.82	2705.748364285714285714285714285714285714
"MB"	3	305.75	2971.350328571428571428571428571428571429
"MB"	4	583.82	3742.5603
"MB"	5	241.68085	3463.855085714285714285714285714285714286
"MB"	6	1336.8905	3296.886135714285714285714285714285714286
"MB"	7	490.9115	3027.172935714285714285714285714285714286
"MB"	8	273.1405	4490.711135714285714285714285714285714286
"MB"	9	1534.62075	3516.0321
"MB"	10	827.71	4072.275157142857142857142857142857142857
"MB"	11	349.94	2995.0347
"MB"	12	781.48025	4805.783666666666666666666666666666666667
"NS"	4	15.99	3742.5603
"NT"	1	703.77	3295.483707142857142857142857142857142857
"NT"	2	223.79025	2705.748364285714285714285714285714285714
"NT"	3	221.94	2971.350328571428571428571428571428571429
"NT"	4	1607.77	3742.5603
"NT"	5	119.95	3463.855085714285714285714285714285714286
"NT"	6	359.93	3296.886135714285714285714285714285714286
"NT"	7	5.99	3027.172935714285714285714285714285714286
"NT"	8	339.5411	4490.711135714285714285714285714285714286
"NT"	9	1547.871	3516.0321
"NT"	10	1.99	4072.275157142857142857142857142857142857
"NT"	11	631.75	2995.0347
"NT"	12	65.98	4805.783666666666666666666666666666666667
"ON"	1	9444.6321	3295.483707142857142857142857142857142857
"ON"	2	8311.23405	2705.748364285714285714285714285714285714
"ON"	3	11718.74505	2971.350328571428571428571428571428571429
"ON"	4	15100.28545	3742.5603
"ON"	5	14152.63595	3463.855085714285714285714285714285714286
"ON"	6	9636.7836	3296.886135714285714285714285714285714286
"ON"	7	11535.74485	3027.172935714285714285714285714285714286
"ON"	8	18659.7528	4490.711135714285714285714285714285714286
"ON"	9	10486.8762	3516.0321
"ON"	10	13987.29075	4072.275157142857142857142857142857142857
"ON"	11	9103.2086	2995.0347
"ON"	12	17412.5948	4805.783666666666666666666666666666666667
"QC"	1	4275.53225	3295.483707142857142857142857142857142857
"QC"	2	3078.86	2705.748364285714285714285714285714285714
"QC"	3	1420.78195	2971.350328571428571428571428571428571429
"QC"	4	5522.94085	3742.5603
"QC"	5	4089.13085	3463.855085714285714285714285714285714286
"QC"	6	2631.3221	3296.886135714285714285714285714285714286
"QC"	7	3517.0005	3027.172935714285714285714285714285714286
"QC"	8	2418.89085	4490.711135714285714285714285714285714286
"QC"	9	1600.5255	3516.0321
"QC"	10	3121.35125	4072.275157142857142857142857142857142857
"QC"	11	1422.271	2995.0347
"QC"	12	2821.56375	4805.783666666666666666666666666666666667
"SK"	1	431.885	3295.483707142857142857142857142857142857
"SK"	2	1449.89	2705.748364285714285714285714285714285714
"SK"	3	161.62085	2971.350328571428571428571428571428571429
"SK"	4	159.9	3742.5603
"SK"	5	53.97	3463.855085714285714285714285714285714286
"SK"	6	161.97	3296.886135714285714285714285714285714286
"SK"	7	21.89	3027.172935714285714285714285714285714286
"SK"	8	139.99	4490.711135714285714285714285714285714286
"SK"	9	1415.89	3516.0321
"SK"	10	241.86	4072.275157142857142857142857142857142857
"SK"	11	3.98	2995.0347
